name_part1,name_part2,name_fluid1,material_group,name_mold_mat,name_disp_1,wf_disp_1,name_bind1,wf_bind_1,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
kaolinite,Al2O3,water,Ceramic,"plastic, noi",,,,,203.0,0.0,24.0,2.0,1773.0,0.06,0.892
HAP,,water,Ceramic,PTFE,Darvan C,0.01,PVA,,,0.0,24.0,,,0.171,0.7
HAP,,water,Ceramic,polyethylene,sodium polyacrylate,0.01,PVA,0.005,243.0,0.0,0.0,3.0,1623.0,0.45,0.375
HAP,Al2O3,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,1.0,,24.0,873.0,0.15,0.7994
SiO2,kaolinite,water,Ceramic,rubber,,,,,238.0,0.0,,72.0,1523.0,0.18,0.6
YSZ,Al2O3,water,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,24.0,,773.0,0.16,0.68
HAP,Al2O3,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,1.0,,24.0,873.0,0.15,0.7936
SiO2,,water,Ceramic,PTFE,,,,,223.0,0.0,12.0,3.0,1673.0,0.07,0.5
Bioglass,,water,Ceramic,PVC,Easysperse,0.005,PVA,0.01,253.0,0.0,,,773.0,0.125,0.65
SiC,,camphene,Ceramic,polyethylene,,,,,276.0,0.0,,2.0,873.0,0.1,0.74
WO3,,water,Metal,Teflon,,,,,248.0,0.0,,,1023.0,0.25,0.443
ZrB2,SiC,water,Ceramic,"plastic, noi",Dolapix,0.04,,,233.0,0.0,0.0,0.5,773.0,0.76,0.385
Bioglass,,camphene,Ceramic,polytetrafluoroethylene,isostearic acid,0.02,,,,0.0,,1.0,1773.0,0.1,0.5
PZT,,TBA,Ceramic,polyamide,acacia,0.012,PVB,0.015,213.0,0.0,0.0,2.0,1723.0,0.3,0.5
SiC,chitosan,acetic acid,Ceramic,,,,,,,4.0,24.0,1.0,873.0,0.07,0.92
HAP,SiO2,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,4.0,,24.0,873.0,0.15,0.7302
YSZ,,TBA,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.02,0.77
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.65
CaP,,water,Ceramic,polyethylene,,,PVA,0.16,208.0,0.0,0.0,2.0,873.0,0.2,0.77
Cordierite,,water,Ceramic,"plastic, noi",,,,,223.0,0.0,24.0,2.0,1473.0,0.1,0.87
BT,kaolinite,water,Ceramic,,,,PVA,0.002,243.0,0.0,0.0,,873.0,0.11,0.6
HAP,,water,Ceramic,PTFE,Darvan 811,0.01,PVA,0.01,,0.0,,,1573.0,0.32,0.47
Al2O3,,water,Ceramic,"plastic, noi",AFP,,,,253.0,0.0,,2.0,1573.0,0.1,0.86
Al2O3,CuO,water,Ceramic,polyethylene,sodium polymethacrylate,0.01,,,253.0,0.0,48.0,1.0,873.0,0.3,0.52
theophylline,starch,water,Pharmaceutical,"plastic, noi",,,saccharose,0.1,243.0,0.0,24.0,,,0.34,0.42
Al2O3,CuO,water,Ceramic,polyethylene,sodium polymethacrylate,0.01,,,253.0,0.0,48.0,1.0,873.0,0.3,0.46
ZrB2,SiC,camphene,Ceramic,,Hypemer KD,0.03,,,,0.0,72.0,3.0,823.0,0.25,0.55
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.65
kaolinite,Al2O3,water,Ceramic,"plastic, noi",,,,,213.0,0.0,24.0,2.0,1773.0,0.05,0.911
Ni,,water,Metal,"plastic, noi",CMC,,,,263.0,0.0,,,773.0,0.1,0.85
Ni,,water,Metal,"plastic, noi",CMC,,,,233.0,0.0,,,773.0,0.1,0.85
Yb2SiO5,,water,Ceramic,,ammonium polymethacrylate anionic dispersant,0.003,PVA,0.01,77.0,0.0,48.0,2.0,873.0,0.2,0.791
SiO2,,TBA,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.07,0.7
Al2O3,SiC,water,Ceramic,epoxy,,,,,77.0,0.0,0.0,1.0,873.0,0.55,0.07
HAP,,water,Ceramic,PVC,Dispex A40,0.02,PVA,0.03,,,24.0,4.0,1573.0,0.2459,0.6
gelatin,,acetic acid,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0155,0.97
HAP,,water,Ceramic/Polymer,"plastic, noi",Darvan 811,0.01,Aquazol,0.02,,0.0,48.0,4.0,1573.0,0.2,0.16
LSCF,GCO,water,Ceramic,,Alon A-6114,,,,193.0,0.0,,5.0,1623.0,0.27,0.431
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.45,0.32
Yb2SiO5,,TBA,Ceramic,,ammonium polymethacrylate anionic dispersant,0.03,PVA,0.01,,0.0,0.0,2.0,673.0,0.15,0.852
YSZ,,water,Ceramic,,,,,,,0.0,,,,0.0122,0.9
Bioglass,,camphene,Ceramic,,Dolapix CE 64,0.06,,,,0.0,,3.0,1523.0,0.0847,0.69
SiO2,,water,Ceramic,glass,,,,,,0.0,,,,0.1392,0.4
YSZ,,TBA,Ceramic,,,,,,,0.0,,2.0,1773.0,0.15,0.718
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.82
TCP,,water,Ceramic,polyproplyene,,,PVA,0.04,77.0,0.0,24.0,0.5,873.0,0.02,0.54
SiO2,kaolinite,water,Ceramic,rubber,,,,,238.0,0.0,,24.0,1523.0,0.12,0.55
HAP,,water,Ceramic,PVC,Dispex A40,0.02,PVA,0.03,,,24.0,4.0,1573.0,0.2459,0.3
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,228.0,0.0,24.0,5.0,1873.0,0.23,0.639
TCP,,water,Ceramic,PTFE,polyacrylic acid,0.01,PVA,0.01,,0.0,48.0,,673.0,0.1,0.818
PVA,,water,Polymer,polyproplyene,,,,,77.0,0.0,,,,0.0657,0.82
PZT,,TBA,Ceramic,,acacia,0.012,PVB,0.015,243.0,0.0,48.0,2.0,1673.0,0.4,0.28
Al2O3,,water,Ceramic,PDMS,HydroDisper A160,,PVA,0.06,,0.0,36.0,3.0,1123.0,0.1,0.75
SiO2,,TBA,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.19,0.58
SiO2,,water,Ceramic,silicone,,,PVA,0.02,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
Al2O3,,water,Ceramic,PDMS,HydroDisper A160,,PVA,0.01,,0.0,36.0,3.0,1123.0,0.3,0.6
Si3N4,Y2O3,water,Ceramic,fluorocarbon,NOI,,,,193.0,0.0,24.0,2.0,1973.0,0.2,0.665
Yb2SiO5,,TBA,Ceramic,,ammonium polymethacrylate anionic dispersant,0.03,PVA,0.01,,0.0,0.0,2.0,823.0,0.15,0.8465
WO3,,water,Metal,Teflon,,,,,255.5,0.0,,,1023.0,0.15,0.636
Mullite,,TBA,Ceramic,PTFE,BYK-163,0.05,PVB,0.005,173.0,0.0,12.0,2.0,1823.0,0.2,0.76
Ca3ZrSi2O9,,water,Ceramic,polyethylene,Dolapix P62,0.03,PVA,0.05,,4.0,,1.0,873.0,0.2,0.5822
HAP,,water,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.03,,0.0,24.0,3.0,873.0,0.2,0.71
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.79
Y2O3,SiO2,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,12.0,1.0,1023.0,0.0788,0.66
SiO2,,water,Ceramic,silicone,,,PVA,0.02,255.0,0.0,24.0,2.0,873.0,0.3297,0.5
TiO2,,camphene,Ceramic,,Texaphor 963,0.6,,,,0.0,,,,0.05,0.93
SiO2,,TBA,Ceramic,,ethyl cellulose ethoecel,0.005,PVP,0.005,,0.0,72.0,,,0.2,0.68
HAP,,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.075,0.86
HAP,,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.15,0.66
HAP,SiO2,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,1.0,,24.0,873.0,0.15,0.8519
YSZ,,water,Ceramic,PTFE,Prox B03,0.0075,PVA,0.03,,2.0,48.0,5.0,773.0,0.2,0.642
PVA,,water,Ceramic/Polymer,,,,,,233.0,0.0,5.0,,,0.07,0.9
HAP,MgO,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.15,0.65
PZT,,TBA,Ceramic,polyamide,acacia,0.012,PVB,0.015,,0.0,0.0,2.0,1723.0,0.2,0.7
Fe2O3,,water,Metal,Teflon,,,PVA,0.04,243.0,,48.0,2.0,573.0,0.141,0.504
HAP,MgO,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.1,0.68
SiC,,water,Ceramic,,,,,,203.0,,,1.0,2023.0,0.3,0.6341
PCS,,water,Polymer,glass,,,,,77.0,0.0,24.0,,,0.32,0.662
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.66
Ti,,camphene,Metal,aluminum,,,,,,0.0,,2.0,1773.0,0.3,0.13
Al2O3,,camphene,Ceramic,silicone,PAAS,,,,248.0,0.0,,2.0,8873.0,0.2,0.75
Bioglass,,camphene,Ceramic,,isostearic acid,,,,,2.0,24.0,1.0,1673.0,0.1,0.86
Al2O3,,TBA,Ceramic,PMMA,citric acid,0.05,,,,0.0,72.0,2.0,873.0,0.25,0.3
SiO2,,water,Ceramic,silicone,,,,,238.0,2.0,0.0,,,0.1628,0.82
PZT,,TBA,Ceramic,,,,,,,0.0,0.0,2.0,1623.0,0.1,0.41
YSZ,,water,Ceramic,silicone,,,PVA,0.02,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
HAP,PMMA,water,Ceramic,silicone,,,PVA,0.02,255.0,0.0,8.0,2.0,873.0,0.2406,0.6264
Al2O3,,water,Metal/Ceramic,Teflon,Dolapix CE 64,,PEG,,,1.0,48.0,2.5,2053.0,0.336,0.109
TCP,,water,Ceramic,PTFE,polyacrylic acid,0.01,PVA,0.01,,0.0,48.0,,673.0,0.2,0.665
stainless steel,,water,Ceramic,,CMC,,Fluka,,233.0,0.0,0.0,2.0,1773.0,0.56,0.21
Mullite,,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,0.0,2.0,1773.0,0.0659,0.77
SiC,,water,Ceramic,,,,PVA,0.085,,0.0,5.0,1.0,873.0,0.12,0.705
YSZ,,water,Ceramic,silicone,,,PVA,0.02,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
SiC,,water,Ceramic,,,,PVA,0.085,,0.0,5.0,1.0,873.0,0.12,0.65
SiO2,kaolinite,water,Ceramic,rubber,,,,,238.0,0.0,,12.0,1523.0,0.12,0.6
Y2SiO5,,water,Ceramic,,,0.01,,,,0.0,48.0,2.0,1773.0,0.4,0.8
SiO2,,TBA,Ceramic,,ethyl cellulose ethoecel,0.005,PVP,0.005,193.0,0.0,72.0,,,0.3614,0.7
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.05,253.0,0.0,,3.0,1873.0,0.2,0.7
Mullite,,TBA,Ceramic,PTFE,BYK-163,0.05,PVB,0.005,173.0,0.0,12.0,2.0,1823.0,0.3,0.66
YSZ,,TBA,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.08,0.55
Al2O3,CuO,water,Ceramic,polyethylene,sodium polymethacrylate,0.01,,,253.0,0.0,48.0,1.0,873.0,0.3,0.54
YSZ,,TBA,Ceramic,,,,PVB,0.005,77.0,0.0,0.0,,873.0,0.15,0.755
polysiloxane,,cyclohexane,Polymer,,,,,,238.0,,48.0,4.0,1373.0,0.2,0.771
TiO2,,water,Ceramic,PVC,Darvan 811,0.01,PVA,0.01,,10.0,72.0,3.0,1273.0,0.1,0.848
Mullite,,TBA,Ceramic,,BYK-163,0.05,PVB,0.05,,0.0,12.0,2.0,1973.0,0.3,0.56
Mullite,,TBA,Ceramic,,BYK-163,0.05,PVB,0.05,253.0,0.0,12.0,2.0,1973.0,0.4,0.55
YSZ,,water,Ceramic,,Darvan C,,Duramax B-1001,,,0.0,,0.5,773.0,0.5,0.41
Al2O3,TiO2,camphene,Ceramic,PTFE,Texaphor 963,0.018,,,,0.0,72.0,2.0,1573.0,0.25,0.73
SiO2,Mullite,water,Ceramic,PTFE,,,,,223.0,0.0,12.0,3.0,1673.0,0.17,0.15
PZT,,TBA,Ceramic,,,,,,,0.0,0.0,2.0,1598.0,0.15,0.379
HAP,BT,water,Ceramic,PDMS,HydroDisper A160,0.01,,,,0.0,36.0,3.0,1373.0,0.2,0.59
Al2O3,,water,Ceramic,PDMS,HydroDisperser,0.01,PVA,0.01,83.0,0.0,24.0,3.0,1173.0,0.2,0.7
Bioglass,,camphene,Ceramic,,isostearic acid,,,,,0.0,24.0,1.0,1673.0,0.1,0.37
HAP,,camphene,Ceramic,"metal, NOI",Texaphor 963,0.06,,,296.0,0.0,20.0,1.0,1493.0,0.1,0.72
HAP,,water,Ceramic,,Duramax D3005,0.003,gelatin,0.1,,0.0,0.0,1.0,873.0,0.13,0.5849
SiO2,,water,Ceramic,"plastic, noi",,,,,193.0,0.0,12.0,2.0,1573.0,0.1,0.89
TiH2,,camphene,Metal,polyethylene,Hypermer KD 4,0.01,,,306.0,0.0,,2.0,873.0,0.15,0.63
Mullite,,TBA,Ceramic,,BYK-163,0.05,PVB,0.05,,0.0,12.0,2.0,2023.0,0.4,0.54
Al2O3,,water,Ceramic,,Darvan 812A,0.01,,,,0.0,,2.0,1563.0,0.3,0.65
Y2SiO5,,TBA,Ceramic,polyethylene,citric acid,,PVB,,,0.0,,1.0,1473.0,0.1,0.73
HAP,,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,873.0,0.15,0.77
NiTiNbO,,water,Metal/Ceramic,,polyacrylic acid,0.001,PVA,0.01,203.0,0.0,96.0,0.5,873.0,0.35,0.5621
TiO2,,water,Ceramic,silicone,NH4PAA,0.087,Duramax B-1000,0.03,,0.0,24.0,2.0,1573.0,0.3527,0.36
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.45,0.28
SiO2,,water,Ceramic,PTFE,,,,,223.0,0.0,12.0,3.0,1673.0,0.04,0.6
YSZ,,TBA,Ceramic,,,,,,,0.0,,2.0,1773.0,0.1,0.742
YSZ,Al2O3,water,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,24.0,,773.0,0.22,0.51
WO3,,water,Metal,Teflon,PEI,0.01,PEG,0.025,258.0,0.0,,8.0,1023.0,0.2,0.483
YSZ,,TBA,Ceramic,,fish oil,,PVB,,,0.0,,,,0.5,0.65
chitosan,HAP,water,Polymer,,acetic acid,,,,,0.0,0.0,,,0.09,0.338
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.53
HAP,,water,Ceramic/Polymer,,,,PVA,0.01,263.0,0.0,,2.0,1773.0,0.15,0.65
CuO,,water,Metal,polyproplyene,NOI,,agar,0.002,257.0,0.0,,2.0,1563.0,0.15,0.8
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,253.0,,,12.0,316.0,0.15,0.77
Mullite,,camphene,Ceramic,polyethylene,,,,,,0.0,24.0,1.0,773.0,0.1131,0.68
SiC,,water,Ceramic,,,,PVA,0.085,,0.0,5.0,1.0,873.0,0.12,0.745
Bioglass,,camphene,Ceramic,,isostearic acid,,,,,0.0,24.0,1.0,1673.0,0.1,0.59
SiC,chitosan,acetic acid,Ceramic,,,,,,,15.0,24.0,1.0,873.0,0.07,0.92
Yb2SiO5,,water,Ceramic,,ammonium polymethacrylate anionic dispersant,0.003,PVA,0.01,77.0,0.0,48.0,2.0,823.0,0.15,0.839
Al2O3,,water,Ceramic,polyethylene,SND 6800,0.01,PVA,0.005,,1.0,,2.0,1873.0,0.3,0.771
Si3N4,,benzoic acid,Ceramic,,,,,,,0.0,5.0,4.0,2023.0,0.16,0.62
Bioglass,,water,Ceramic,,,,,,,0.0,24.0,1.5,2073.0,0.05,0.8623
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,243.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,CuO,water,Ceramic,polyethylene,sodium polymethacrylate,0.01,,,253.0,0.0,48.0,1.0,873.0,0.3,0.4
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,253.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,,camphene,Ceramic,,Texaphor 963,0.02,,,253.0,0.0,24.0,1.0,873.0,0.1,0.75
BaTiO3,Al2O3,water,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,,2.0,1673.0,0.2,0.411
SiO2,,water,Ceramic,"plastic, noi",,,,,193.0,0.0,12.0,2.0,1523.0,0.1,0.89
NiO,YSZ,water,Metal/Ceramic,,Darvan CN,,Duramax HA-12,,213.0,0.0,12.0,1.0,573.0,0.15,0.6088
YSZ,,TBA,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.06,0.52
HAP,Al2O3,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,1.0,,24.0,873.0,0.15,0.8496
WO3,,water,Metal,Teflon,,,,,253.0,0.0,,,1023.0,0.275,0.444
HAP,(Ca10(PO4)6(OH)2),TBA,Ceramic,polyurethane,citric acid,0.01,,,,0.0,0.0,1.0,963.0,0.1,0.65
PZT,,TBA,Ceramic,polyamide,acacia,0.012,PVB,0.015,,0.0,0.0,2.0,1723.0,0.4,0.28
HAP,,water,Ceramic,PVC,Dynol 604,0.0075,PVA,0.015,253.0,0.0,,3.0,1673.0,0.1,0.67
YSZ,,water,Metal/Ceramic,Teflon,Dolapix CE 64,,PEG,,,1.0,48.0,12.0,413.0,0.365,0.212
PLLA,,DMSO,Polymer,,,,,,77.0,,,,,0.04,0.947
kaolinite,Al2O3,water,Ceramic,"plastic, noi",,,,,233.0,0.0,24.0,2.0,1773.0,0.06,0.894
HAP,,water,Ceramic,silicone,,,PVA,0.02,255.0,0.0,24.0,2.0,873.0,0.2406,0.605
YSZ,,TBA,Ceramic,,,,PVB,0.005,243.0,0.0,0.0,0.5,723.0,0.15,0.77
collagen,alginate,water,Ceramic/Polymer,,,,,,,,,,,0.02,0.922
HAP,,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,1273.0,0.15,0.81
Bioglass,,water,Ceramic,PVC,Easysperse,0.005,PVA,0.01,253.0,0.0,,,773.0,0.125,0.7
Y2O3,SiO2,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,12.0,1.0,1053.0,0.1664,0.66
HAP,SiO2,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,4.0,,24.0,873.0,0.15,0.8071
Al2O3,TiO2,camphene,Ceramic,PTFE,,,,,77.0,0.0,72.0,2.0,1773.0,0.25,0.37
fireclay,,water,Ceramic,polystyrene,Lioperse 511,0.004,gelatin,0.06,,0.0,24.0,1.0,873.0,0.1751,0.7398
YSZ,,TBA,Ceramic,,fish oil,,PVB,,,0.0,,0.5,773.0,0.5,0.02
PVA,,water,Polymer,polyproplyene,,,,,77.0,0.0,,,,0.0657,0.81
TCP,,water,Ceramic,PTFE,polyacrylic acid,0.01,PVA,0.01,,0.0,48.0,,673.0,0.3,0.489
Al2O3,,water,Ceramic,,SHMP,0.003,PVA,0.03,218.0,0.0,36.0,2.0,873.0,0.235,0.664
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.2,0.6
Ti,,camphene,Metal,aluminum,Hypermer KD 4,0.01,,,,0.0,,2.0,1773.0,0.15,0.71
HAP,,water,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.01,,0.0,24.0,3.0,1523.0,0.4,0.42
YSZ,,TBA,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.03,0.74
chitin,,water,Polymer,glass,,,PVA,0.016,77.0,0.0,24.0,,,0.0053,0.982
Al2O3,SiC,water,Ceramic,epoxy,,,,,77.0,0.0,0.0,1.0,873.0,0.55,0.05
LSM,YSZ,water,Ceramic,acrylic,Darvan CN,0.02,PEG,0.01,,0.0,0.0,,,0.17,0.61
HAP,MgO,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.05,0.86
Mullite,,camphene,Ceramic,polyethylene,Darvan C,0.01,PVB,0.01,77.0,0.0,,,873.0,0.153,0.51
Si3N4,Y2O3,water,Ceramic,fluorocarbon,Alon A-6114,,,,193.0,0.0,24.0,,2123.0,0.25,0.584
Al2O3,YSZ,water,Ceramic,Teflon,,,sodium polymethacrylate,0.005,253.0,0.0,48.0,30.0,773.0,0.3,0.6
Si3N4,Al2O3,TBA,Ceramic,polyethylene,PVP,0.04,,,,0.0,24.0,3.0,473.0,0.3036,0.42
HAP,,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.075,0.85
Yb2SiO5,,TBA,Ceramic,,ammonium polymethacrylate anionic dispersant,0.03,PVA,0.01,,0.0,0.0,2.0,873.0,0.15,0.8395
HAP,SiO2,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,4.0,,24.0,873.0,0.15,0.8095
PVA,,water,Polymer,polyproplyene,,,,,77.0,0.0,,,,0.0657,0.83
YSZ,,TBA,Ceramic,,,,,,,0.0,,2.0,1773.0,0.15,0.631
Al2O3,,water,Ceramic,polyethylene,Darvan 7-N,0.012,,,253.0,0.0,48.0,4.0,1773.0,0.2,0.643
SiC,,water,Ceramic,,,,PVA,0.085,,0.0,5.0,1.0,873.0,0.12,0.6
YSZ,,TBA,Ceramic,,,,PVB,0.005,,,,1.0,1823.0,0.15,0.54
Al2O3,ZrO2,TBA,Ceramic,epoxy,citric acid,0.01,PVB,,77.0,0.0,,,1773.0,0.15,0.481
Al2O3,SiC,water,Ceramic,epoxy,,,,,77.0,0.0,0.0,1.0,873.0,0.55,0.095
Mullite,,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,0.0,,1373.0,0.1079,0.78
SiC,,water,Metal/Ceramic,Teflon,CMC,0.008,CMC,,263.0,0.0,24.0,0.5,773.0,0.2,0.018
BaTiO3,,water,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,,2.0,1773.0,0.2,0.6
PCS,,water,Polymer,glass,,,,,77.0,0.0,24.0,,,0.51,0.814
YSZ,,water,Ceramic,,Darvan C,,Duramax B-1001,,,0.0,,0.5,773.0,0.1,0.86
Al2O3,CuO,water,Ceramic,polyethylene,sodium polymethacrylate,0.01,,,253.0,0.0,48.0,1.0,873.0,0.3,0.51
Al2O3,,water,Ceramic,PDMS,HydroDisperser,0.05,PVA,0.01,83.0,0.0,24.0,3.0,1173.0,0.2,0.4
CuO,,water,Metal,polyethylene,,,PVA,,253.0,0.0,,2.0,1573.0,0.2,0.497
Bioglass,,camphene,Ceramic,,isostearic acid,,,,,0.0,24.0,1.0,1673.0,0.1,0.19
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.67
TiH2,,camphene,Metal,aluminum,Hypermer KD 4,0.01,,,,0.0,,2.0,873.0,0.4,0.35
SiC,,camphene,Ceramic,polyethylene,,,,,276.0,0.0,,2.0,873.0,0.1,0.86
chitosan,TCP,water,Ceramic/Polymer,"plastic, noi",acetic acid,,,,253.0,0.0,6.0,,,0.1468,0.76
